StudentNo,FirstRegistrationYear,FirstName,Surname,YearOfBirth,MonthOfBirth,DateOfBirth
51083,2015,Corrie,Walsh,1990,8,26
50198,2016,Pepita,Renihan,1987,8,21
50831,2018,Dwain,Firminger,1976,5,14
50696,2018,Dagny,Loram,1990,6,19
50396,2019,Garreth,Huntingford,1969,8,23
51914,2021,Byran,Jozsa,1956,11,11
51395,2019,Birch,Gay,1968,3,23
50864,2017,Gib,Murie,1987,2,10
52874,2016,Kinny,Simcock,1979,6,27
50741,2015,Ellis,Cullivan,1996,12,1
52910,2017,Ashlie,Conechie,1956,10,23
51191,2016,Kass,Brotherhead,1958,1,15
52133,2018,Marys,Fronks,1952,11,17
50885,2020,Kristina,Blouet,1974,12,11
52028,2017,Anna-diana,Swayton,1989,12,14
50918,2018,Skipper,Shakesbye,1963,1,5
52010,2017,Izak,Mulrean,1984,7,4
50921,2016,Delano,Rowen,2000,11,8
50990,2016,Jolene,Whimper,1969,3,12
50405,2016,Barrett,Yglesia,1995,1,4
52310,2015,Barrie,De Cristofalo,1955,6,13
52775,2015,Faustine,Woolfoot,1983,5,18
50246,2015,Buck,Mountlow,1996,12,17
52502,2015,Nadiya,Konke,1964,8,18
51755,2016,Luelle,Kaming,1974,9,13
52481,2017,Warner,Wyldbore,1952,6,22
50840,2018,Kaia,McIlherran,1962,6,12
52532,2018,Glynnis,Lavers,2003,10,25
52844,2016,Shermie,Rosone,1957,11,19
51479,2021,Phyllis,Minucci,1976,12,26
50552,2015,Samuel,Broad,1964,4,27
52472,2017,Elita,Lempel,1974,7,1
50189,2017,Kendre,West-Frimley,1964,5,8
52091,2021,Krissie,Breedy,1960,12,16
50927,2021,Brook,Lentsch,1973,2,2
52958,2015,Benito,Beange,1990,8,2
50213,2020,Tara,Twelve,2003,5,4
52352,2015,Berri,Vogeller,1968,11,19
51494,2016,Fara,Haddrell,1960,6,25
50510,2021,Jud,Salsberg,1953,2,15
51506,2015,Ugo,Longina,1971,2,21
50096,2016,Chloris,MacCombe,1976,1,24
50498,2019,Devinne,Pickring,1999,4,20
51338,2016,Anna-diane,Covington,1958,11,17
51128,2017,Bria,Kubicki,1958,9,28
52595,2018,Breena,Wadly,1975,2,17
52070,2021,Rustin,Davidai,1972,7,6
51452,2019,Boothe,Jobling,1969,10,20
51482,2017,Hy,Arblaster,1980,1,26
52538,2021,Dawna,Tasker,1967,10,5
50489,2020,Annora,Fookes,1962,9,4
52712,2017,Abraham,Guest,1985,9,12
52463,2015,Sapphire,Conklin,1989,10,18
50549,2021,Aurilia,Gurdon,2005,12,4
52418,2018,Koo,McKerron,1983,10,22
50633,2017,Grenville,Shergold,1975,6,12
52406,2016,Sherri,Huniwall,1958,7,24
52808,2021,James,McCrillis,2005,7,20
51347,2021,Melvyn,Moscrop,2004,10,3
52172,2017,Freddy,Dwyr,1968,3,10
52997,2020,Amara,Crowson,1965,6,25
52208,2019,Neila,McClune,1968,1,11
51527,2017,Dotti,Strewthers,1990,8,22
52256,2015,Pavia,Covely,1958,3,6
50564,2021,Dwight,Obert,1987,3,3
51374,2020,Janis,Goundsy,1958,2,17
50528,2021,Gardner,Bettis,1977,3,4
51188,2016,Corilla,Rubinov,1983,12,15
50132,2021,Fairlie,Chiplin,1957,5,25
50621,2021,Jeramey,Garret,1962,11,10
50285,2021,Cash,Menauteau,1985,3,5
52298,2018,Doll,Spurrior,1988,10,19
50729,2017,Florie,Lerego,2001,2,11
50834,2020,Tatiania,Fairley,1965,4,13
52019,2020,Van,Rehorek,2004,1,11
52436,2019,Cindelyn,Kubalek,2004,2,7
51167,2016,Lindsay,Burman,1976,8,23
51263,2018,Juliann,Goad,2004,3,24
52238,2020,Vick,Cluderay,1976,7,6
52145,2017,Alvera,Pepperell,2002,1,6
52676,2021,Raf,Werny,1951,3,2
52493,2016,Othilia,Sygroves,1958,6,9
51668,2016,Clareta,Chard,1993,10,2
50591,2018,Sharon,Harpin,1987,9,26
50810,2021,Ashley,Leving,1974,2,1
52169,2021,Abagail,Woodington,1991,4,12
52682,2020,Benjie,Astlett,1956,1,1
50225,2019,Alexia,Bodill,1990,8,2
51272,2020,Zea,Withringten,1994,11,3
50597,2016,Lari,Hazlegrove,1959,2,24
51791,2020,Sella,Landes,1977,3,7
51980,2016,Joannes,Slayford,1959,3,13
50723,2020,Elayne,Helis,2000,3,23
51269,2016,Andie,Dunridge,1973,4,4
50057,2021,Warren,Muslim,1979,1,8
50216,2017,Cart,Peiser,1981,9,4
51287,2018,Stevy,Serjent,2000,10,7
50183,2018,Dugald,O'Loinn,1952,4,21
51575,2021,Byram,Malbon,2003,2,27
51902,2021,Donia,Just,1976,7,5
52856,2017,Nikolai,Marcos,1954,4,14
52820,2017,Fredericka,Whitford,1983,7,1
50915,2019,Juliet,Stickings,1985,9,16
51788,2021,Koenraad,Stangoe,1957,4,17
52271,2021,Ethelred,Kullmann,1992,9,25
50219,2015,Corney,Spary,1967,3,9
52796,2021,Ade,McGuane,1982,5,6
51926,2016,Jeffrey,Muschette,1978,9,25
52043,2015,Elsey,Woodham,1965,3,5
50768,2018,Marji,Cardoo,1994,4,16
51446,2015,Shayna,Korejs,2001,10,6
50558,2017,Theresina,Savatier,1988,4,3
51407,2015,Rosella,Rosendale,1984,11,2
51233,2019,Wallis,Dryden,1987,7,2
52964,2017,Clarance,Nelthropp,2000,11,1
51779,2015,Barbabas,McIan,1971,8,11
51959,2021,Jada,Tunuy,1968,10,18
51776,2016,Cayla,Eakin,1984,9,10
50210,2018,Noel,Hewlings,1982,8,22
51848,2018,Grannie,Gutcher,1962,6,14
52982,2021,Haley,Searles,1959,12,5
51953,2017,Marget,O'Flaverty,2003,1,23
50066,2015,Ardenia,Josefson,1964,4,26
52034,2015,Noreen,Roughan,1995,8,2
51239,2020,Iggie,Lowrie,2001,8,4
51116,2015,Carlo,Woolley,2004,2,19
52454,2019,Charity,Alcorn,1979,4,18
51836,2018,Griz,Readhead,1952,5,7
50345,2019,Doyle,Nel,1985,8,28
51131,2017,Belinda,Petrushanko,1959,4,22
52619,2019,Almeta,McGowan,2005,12,17
52793,2018,Florry,Willatt,1976,11,21
51515,2015,Kacie,Waight,1982,7,7
50324,2016,Marie,Tampling,1988,2,19
52142,2016,Nancee,Gascoigne,1977,3,15
52157,2019,Adams,Huck,2005,6,18
51887,2019,Carena,Wixey,1989,4,6
52742,2020,Rik,Brandom,1967,1,18
51110,2015,Alfie,Wisby,2003,5,7
52013,2019,Barde,Stathers,1966,2,26
52121,2020,Aundrea,Tosney,1952,3,27
50021,2017,Mady,Culleford,1996,2,24
52118,2019,Chelsy,Grigg,1989,5,24
51941,2020,Wit,Georgot,1958,11,6
50654,2017,Fax,Biddleston,1988,4,11
50177,2018,Rana,Lamb,1957,2,24
52913,2018,Paxon,Sponder,1991,1,9
52679,2019,Ingaborg,Rechert,1986,12,1
51254,2017,Karon,Sebyer,1972,6,17
50735,2017,Pierette,Rawlison,2004,10,22
52358,2019,Ingrid,Wickett,1954,11,3
51827,2015,Yurik,Fynan,1970,8,24
50072,2021,Darya,Lovick,1982,9,5
50906,2016,Vitoria,Sarsfield,1976,12,18
51410,2015,Crista,Calvie,1982,5,7
52052,2020,Fidelity,Birchall,2000,5,18
50828,2020,Lara,Tarbet,1967,1,16
51278,2021,Christian,Hayley,1964,1,6
50924,2019,Camey,Barrott,1997,4,9
51602,2019,Jeromy,Hasty,1988,4,19
51518,2015,Danni,Ephgrave,1982,9,14
50375,2016,Nellie,Keaysell,1993,4,3
50363,2015,Brietta,O'Geneay,1975,7,23
51242,2021,Waldo,Burges,2005,5,21
51971,2019,Babs,Dowry,1998,9,21
51476,2015,Abagail,Attwill,2004,8,18
52586,2018,Lela,Kyrkeman,1990,5,16
52724,2015,Mariana,Paddeley,1965,1,8
51533,2020,Lin,Gurton,1950,4,6
51566,2017,Clayson,Vasiltsov,1990,3,20
50000,2018,Guinna,Jorck,1967,4,8
52736,2017,Kettie,Maso,1998,2,5
51056,2021,Cornela,Killough,1963,2,21
50693,2018,Saunders,McLenaghan,1965,3,11
52016,2021,Eimile,Muriel,1952,6,11
51473,2021,Billie,Dursley,1975,6,18
52400,2021,Josi,Van der Hoeven,1982,2,23
50186,2017,Phelia,Bembridge,2002,7,12
52601,2021,Moira,Chauvey,1996,9,17
51014,2017,Morrie,Trayhorn,1991,3,14
52289,2020,Ola,Perkins,1974,5,13
52613,2021,Marlon,Skechley,1986,1,9
50471,2020,Dave,Brussels,1997,10,3
52634,2021,Tara,Gavahan,1967,8,25
52784,2015,Isabelle,Benza,1982,5,10
50438,2018,Goldy,Simounet,1987,6,4
51809,2021,Viki,McIlriach,2003,12,5
51593,2016,Marvin,Brugger,1979,12,21
52457,2021,Gabby,Lavis,1964,12,20
50180,2016,Chanda,Leather,1965,2,16
50897,2018,Giuseppe,Gourley,1983,5,18
53000,2019,Alaric,Dearnley,1972,8,14
51221,2017,Seamus,Bellew,1990,7,24
51647,2018,Hersch,Clohisey,1972,5,27
50543,2017,Hortensia,Bruin,1972,7,6
51485,2015,Kurtis,Muffen,1988,8,22
51764,2020,Tyne,Fullman,1976,1,10
51251,2018,Mozes,Smurfitt,2005,3,12
52154,2019,Sheffie,Airey,1979,2,14
51284,2015,Stacee,Di Giacomo,1962,10,21
51770,2018,Lizbeth,Vasilenko,1962,7,19
51125,2017,Herschel,Treacher,1979,5,8
52931,2019,Archambault,Kemsley,1959,10,18
51398,2017,Isabel,D'Aulby,1987,1,12
50999,2020,Sergei,McCarry,2001,7,12
50711,2018,Gonzalo,Arpino,2002,9,13
50372,2018,Karmen,Whyte,2000,6,13
52388,2016,Nari,Traylen,1998,12,7
51608,2021,Jodi,Boydell,1977,9,13
50039,2018,Perry,Punter,1986,6,14
52445,2019,Kayley,Pettendrich,1954,2,27
51962,2020,Jaquenetta,Ayto,1985,11,12
51425,2019,Roderigo,Yeaman,1977,3,23
52937,2019,Kirsten,Readshaw,1983,1,1
52331,2021,Tasia,Clampin,1994,5,9
50522,2016,Teddi,Barbary,1999,8,26
52319,2017,Cullan,Maudson,1976,10,1
